"EHI_number","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","Transect","Sampling_point","Elevation","World_cover_2021_code","World_cover_2021_class","World_cover_2021_quality","Copernicus_cover_2018_code","Copernicus_cover_2018_class","Copernicus_water_2018_code","Copernicus_water_2018_class","Copernicus_tree_cover_2018_code","Copernicus_tree_cover_2018_class","Copernicus_Imperviousness_2018_code","Copernicus_Imperviousness_2018_class","Copernicus_grassland_2018_code","Copernicus_grassland_2018_class","Copernicus_forest_type_2018_code","Copernicus_forest_type_2018_class","Copernicus_dominant_leaf_type_2018_code","Copernicus_dominant_leaf_type_2018_class","Precipitation","Tmin","Tmax","Predicted_Elevation"
"EHI00180","ABK05E1L2I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.6351,22630752,250404,0.111867744822612,3248644425,37200326,0.140324720136443,18.76774022,0.85774666,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
"EHI00433","ADI93E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91811,0.12692,0.5434,42911120,4983544,0.043955766,5308367531,730117194,0.103098294882836,18.90536576,0.856253434,"Sentein","J",2306,30,"Grassland",94,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",70.80000305,6,20,2188.10776321372
"EHI00480","ADJ27E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91811,0.12692,0.4904,58566090,5546896,0.0286722843242317,7503478580,793212202,0.082653949,19.30954354,0.855362948,"Sentein","K",2306,30,"Grassland",94,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",1,"Broadleaved trees",70.80000305,6,20,2188.10776321372
"EHI00496","ADM74E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91811,0.12692,0.6484,57142342,2713416,0.019657985,7874501801,415085470,0.05188454,19.27814234,0.888642053,"Sentein","K",2306,30,"Grassland",94,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",70.80000305,6,20,2188.10776321372
"EHI00524","ADI81E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91811,0.12692,0.5804,57643518,8710890,0.0140081325338506,6957466805,1320091255,0.056082949,18.90577021,0.909868411,"Sentein","K",2306,30,"Grassland",94,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",70.80000305,6,20,2188.10776321372
"EHI00529","ADM18E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91811,0.12692,0.6519,45328158,855688,0.0129181663494505,6423214499,129930230,0.048642845,19.00518676,0.905422059,"Sentein","K",2306,30,"Grassland",94,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",70.80000305,6,20,2188.10776321372
"EHI00477","ADI75E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91595,0.13036,0.4708,45728676,583358,0.0223719751231894,6450371341,87653441,0.06816221,19.23954664,0.860166835,"Sentein","J",2065,30,"Grassland",93,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",1,"Broadleaved trees",65.80000305,6,20,2046.3210628431
"EHI00490","ADM31E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91595,0.13036,0.5852,79969084,1186806,0.0194423860441547,11429117668,180662818,0.05096169,18.32576609,0.955112177,"Sentein","J",2065,30,"Grassland",93,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",65.80000305,6,20,2046.3210628431
"EHI00458","ADM43E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91491,0.14248,0.598,48296252,2136768,0.038609761,6654999014,326249839,0.073536872,18.87774674,0.871721105,"Sentein","J",2134,30,"Grassland",94,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",65.80000305,6,20,2046.3210628431
"EHI00484","ADM42E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91491,0.14248,0.6329,47565710,1783186,0.011291089,6643343827,269250378,0.042090967,18.74662862,0.925875041,"Sentein","J",2134,30,"Grassland",94,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",65.80000305,6,20,2046.3210628431
